Welcome 	1	0	71	0	0	0	0	0	0	42	0	0	0	0	0	0	0	
Metallurgy 	2	0	83	0	0	0	0	0	0	0	12	12	0	0	0	0	0	
Linguistics 	3	0	65	0	0	0	0	0	0	0	1	0	0	0	6	6	0	
Robotics 	2	0	65	0	0	0	0	0	0	0	0	0	5	0	0	16	0	
Psychology 	3	0	65	0	0	0	0	0	0	0	0	0	3	0	3	0	3	
Tradecraft 	2	0	71	0	0	0	0	0	0	0	0	5	0	0	0	5	0	
Methodology 	1	0	65	0	0	0	0	0	0	0	42	0	0	0	0	0	0	
Oenology 	1	0	71	0	0	0	0	0	0	0	12	0	0	0	0	0	0	
Robotics 	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Tradecraft 	2	0	65	0	0	0	0	0	0	0	0	0	0	5	0	0	19	
Paleoludology 	1	0	83	0	0	0	0	0	0	0	0	42	0	0	0	0	0	
Linguistics 	1	0	83	0	0	0	0	0	0	0	6	0	0	0	0	0	0	
Dramatics 	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Noology 	1	0	65	0	0	0	0	0	0	0	0	0	0	0	42	0	0	
Psychology 	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Heuristics 	1	0	65	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
Informatics 	1	0	65	0	0	0	0	0	0	0	0	12	0	0	0	0	0	
Oenology 	1	0	83	0	0	0	0	0	0	0	0	0	0	5	0	0	0	
Psychology 	1	0	71	0	0	0	0	0	0	0	0	8	0	0	0	0	0	
Tradecraft 	1	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	5	
